date,pair_id,category,chain,side,store,label,price_gbp,per100,unit,offer,source,amount,amount_basis
2026-07-08,wait-balls,meatballs,Waitrose,meat,Waitrose,12 British Beef Meatballs,4.5,1.5,g,,trolley,300,register
2026-07-08,wait-balls,meatballs,Waitrose,plant,Waitrose,PlantLiving No Meat Meatballs,2.25,0.5921,g,,trolley,380,register
2026-07-08,wait-burg,burgers,Waitrose,meat,Waitrose,BBQ 4 Oak Smoked Beef Burgers,5.5,1.2115,g,3 FOR £12,trolley,454,register
2026-07-08,wait-burg,burgers,Waitrose,plant,Waitrose,PlantLiving 2 Ultimate No Meat Burgers,2.25,1.0714,g,,trolley,210,register
2026-07-08,wait-saus,sausages,Waitrose,meat,Waitrose,6 Chorizo Style Pork Sausages,4,1,g,2 FOR £6,trolley,400,register
2026-07-08,wait-saus,sausages,Waitrose,plant,Waitrose,Plant Living No Chorizo Sausages,3,1.0714,g,,trolley,280,register
2026-07-08,wait-slaw,coleslaw,Waitrose,meat,Waitrose,Deli Style Coleslaw,2.75,0.55,g,,trolley,500,register
2026-07-08,wait-slaw,coleslaw,Waitrose,plant,Waitrose,PlantLiving Deli Style Coleslaw,2.1,0.7,g,,trolley,300,register
2026-07-09,asda-burg,burgers,Asda,meat,Asda,Summer Grill by ASDA 4 Quarter Pounder Beef Burgers,3.77,0.8304,g,,trolley,454,register
2026-07-09,asda-burg,burgers,Asda,plant,Asda,Plant Based by ASDA 4 Veggie Burgers,1.45,0.3,g,,trolley,,aggregator_per_unit
2026-07-09,asda-mince,mince,Asda,meat,Asda,20% Fat Beef Mince,3.25,0.65,g,,trolley,500,register
